StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass
4469,17,1,0,1,7.46,26,0,1,1,0,1,1,3.11,1
1788,18,1,2,0,6.69,15,0,1,1,0,0,1,2.56,2
5794,17,1,0,3,1.21,9,0,3,0,0,0,1,2.67,2
5369,16,1,2,4,15.47,29,0,2,1,1,0,0,3.64,0
5449,18,0,0,2,3.84,13,0,2,1,1,1,1,3.55,0
3041,15,1,2,3,10.2,26,1,4,1,1,1,1,3.69,0
2553,17,1,1,3,3.11,5,1,2,1,1,1,0,3.68,0
5870,16,0,0,2,12.41,7,0,1,1,0,1,0,2.42,3
5792,17,1,1,2,10.22,3,1,2,0,1,1,1,3.73,0
1080,18,1,1,4,7.86,1,0,3,1,1,0,0,4.0,0
4713,15,1,2,3,19.35,16,0,1,1,0,1,0,1.3800000000000003,4
1233,18,0,2,4,18.35,9,0,3,0,0,0,0,3.23,1
1964,17,1,2,2,5.31,5,0,1,1,1,1,1,3.05,1
4224,17,0,3,4,17.05,11,1,4,1,0,1,1,3.44,1
1709,18,1,2,3,11.78,25,0,3,0,0,1,0,3.4,1
4489,16,0,0,1,15.48,28,0,3,0,0,0,0,3.28,1
2320,17,1,0,4,11.89,10,0,4,1,1,0,1,3.04,1
3374,18,1,1,1,13.63,24,1,3,0,0,0,1,2.25,3
1474,18,1,2,1,1.39,20,1,3,1,0,0,1,2.68,2
3657,17,1,2,3,1.23,4,1,2,0,1,0,0,2.81,2
2344,15,1,2,4,14.94,3,1,4,0,0,1,1,3.12,1
4150,15,1,0,3,13.2,28,0,4,1,0,0,0,3.23,1
3952,17,0,0,3,10.63,25,0,2,1,1,0,1,3.49,1
1278,16,1,0,3,13.01,21,0,4,0,1,1,0,2.63,2
3008,17,0,0,4,7.62,10,1,3,1,0,1,0,3.29,1
4760,17,0,1,2,13.19,19,1,3,1,1,1,0,3.41,1
3547,18,0,2,3,15.85,8,0,4,0,1,1,0,3.12,1
5824,16,1,0,1,10.21,20,1,2,0,1,1,1,2.34,3
2951,18,1,2,4,19.17,23,0,4,0,1,1,0,4.0,0
3901,16,0,1,4,1.14,23,0,3,1,0,0,0,3.38,1
4480,16,1,3,4,11.52,17,0,3,0,0,0,1,3.33,1
5072,15,0,2,1,8.92,30,0,3,1,1,1,0,3.3,1
3838,15,1,2,2,8.59,11,1,3,1,1,0,1,2.95,2
5829,17,1,2,3,18.64,30,0,2,0,1,1,0,2.92,2
5592,15,0,0,4,3.11,17,0,3,1,1,0,0,2.3,3
5027,15,1,1,3,4.09,19,0,1,1,0,0,1,3.06,1
1625,15,0,0,4,9.26,29,0,3,1,0,0,0,2.39,3
1968,16,1,0,2,9.75,8,1,4,0,1,1,0,3.14,1
2769,17,1,3,0,15.19,12,0,2,0,1,0,1,2.69,2
3218,15,1,2,3,17.24,26,1,2,0,1,0,1,3.8,0
3795,18,0,2,2,18.19,10,0,2,1,0,0,1,2.84,2
1274,18,1,2,1,15.05,19,0,2,0,1,0,0,3.12,1
4106,15,0,1,3,12.46,5,0,3,1,0,1,1,3.12,1
4694,18,1,0,1,10.31,24,0,3,1,0,0,0,2.72,2
4561,16,1,0,1,15.6,18,1,3,1,1,0,1,3.37,1
5356,17,0,2,2,16.88,4,1,0,1,0,1,0,3.61,0
1792,18,0,2,2,9.17,21,1,1,0,1,1,0,2.67,2
2274,17,0,1,1,12.58,22,0,1,0,0,1,1,2.68,2
4568,17,1,3,2,15.15,27,0,3,1,1,1,0,3.21,1
4185,18,1,0,2,5.72,4,1,3,0,0,0,0,2.92,2
3839,15,1,0,1,15.76,11,0,1,1,0,0,0,3.15,1
5714,15,0,0,2,0.07,8,1,2,1,0,0,0,1.99,4
5640,18,0,0,3,4.54,9,1,2,1,1,1,0,3.49,1
2932,18,1,0,2,6.3,22,0,4,1,0,0,0,2.79,2
3235,15,0,0,2,15.42,23,0,3,1,1,1,1,2.8,2
2628,15,1,2,2,14.67,24,0,2,0,1,1,0,3.42,1
1756,16,0,0,3,16.74,21,0,1,0,1,0,0,3.3,1
4625,18,0,0,2,19.19,5,0,3,1,1,0,0,3.18,1
5163,15,1,2,3,11.08,12,0,1,1,0,1,1,2.9,2
3265,16,0,2,3,17.97,4,0,2,0,1,0,0,4.0,0
3647,16,0,1,1,1.57,8,0,1,0,1,1,1,2.23,3
3597,17,1,0,3,3.65,20,0,0,1,1,0,0,2.83,2
3554,18,0,1,3,14.68,13,0,3,1,1,1,0,2.86,2
5550,18,1,3,3,15.1,9,0,4,0,0,0,0,3.36,1
4888,15,0,2,0,14.69,19,0,2,1,1,1,0,3.36,1
1523,16,0,1,4,7.28,22,0,3,0,0,0,0,2.27,3
1305,16,1,1,1,13.08,27,0,1,1,1,1,0,2.98,2
5945,15,1,0,1,8.72,2,0,4,1,1,1,1,3.73,0
5161,17,0,3,1,12.85,3,0,3,1,0,0,0,3.06,1
2761,18,1,0,3,1.25,12,0,2,1,1,0,0,4.0,0
5547,16,0,0,2,12.21,15,0,2,1,1,0,0,3.44,1
1432,16,0,0,1,19.58,1,1,1,1,0,0,1,3.36,1
4135,16,1,2,3,7.34,7,1,3,0,0,1,0,3.27,1
4347,16,0,2,2,15.02,21,1,2,0,1,0,0,2.68,2
4832,16,0,1,1,10.71,7,0,1,0,0,0,1,2.89,2
1004,17,0,0,3,1.67,12,0,3,0,1,1,1,2.66,2
4861,18,1,1,2,5.49,2,0,2,1,1,0,0,2.24,3
4169,16,1,1,2,4.06,17,0,2,0,1,1,0,2.95,2
2042,16,1,0,3,17.91,20,0,1,0,1,1,0,2.28,3
3390,16,1,1,1,4.7,10,0,3,1,1,0,0,2.93,2
4194,15,1,0,2,4.81,1,0,3,1,0,1,0,2.29,3
4112,17,0,0,2,1.7,24,0,4,1,0,1,1,2.03,3
4406,17,1,0,2,1.01,22,0,2,1,0,1,1,2.14,3
1898,18,0,0,1,17.82,19,1,0,1,1,0,1,3.81,0
2738,17,0,0,3,10.91,13,0,2,0,1,0,0,2.36,3
3339,18,1,2,3,4.0,13,1,1,1,0,1,0,1.78,4
4554,16,0,1,1,9.8,2,0,2,0,0,0,0,2.92,2
4284,16,0,0,1,9.51,23,1,4,1,0,1,0,3.12,1
2261,17,1,0,1,8.78,19,0,1,0,1,1,1,2.55,2
2783,18,1,1,3,1.47,19,0,2,1,0,0,0,2.66,2
4622,16,0,0,1,12.48,23,0,3,0,1,1,1,2.65,2
5955,17,1,0,2,2.56,5,0,3,1,0,0,0,2.39,3
2218,16,1,0,3,14.33,4,0,3,1,0,0,0,2.61,2
3580,16,1,2,1,14.62,30,1,1,0,1,0,0,2.26,3
4763,17,0,1,1,8.62,13,0,3,1,0,1,0,2.79,2
3456,15,0,3,1,10.55,26,0,3,1,1,1,0,2.74,2
2689,15,1,1,2,10.89,23,0,2,0,0,1,0,1.77,4
3871,18,1,2,3,0.9,4,0,1,1,0,0,0,3.61,0
3929,16,1,2,3,7.91,9,0,2,1,1,0,0,3.06,1
3274,16,0,0,3,7.25,23,1,2,0,1,1,1,2.72,2
3481,15,0,0,3,11.82,13,1,3,0,0,0,0,3.68,0
5021,18,0,0,3,2.09,13,0,3,0,0,0,0,3.07,1
5205,16,1,3,3,8.58,16,0,3,1,0,0,0,3.09,1
2516,16,0,0,3,10.94,28,0,3,0,1,0,1,2.4,3
5531,17,1,0,2,15.81,21,0,1,1,1,1,1,3.27,1
5730,17,1,0,4,13.32,19,0,3,1,0,0,0,2.81,2
1072,16,0,2,3,4.51,29,1,3,1,0,0,1,2.37,3
3113,16,1,1,1,8.54,26,0,2,1,0,1,1,2.73,2
2906,16,1,0,3,19.33,29,1,1,1,0,0,0,3.08,1
4149,17,1,0,3,12.59,2,1,4,1,0,0,1,3.28,1
1832,15,1,1,1,5.98,24,0,1,0,1,1,0,2.79,2
2637,15,1,3,3,16.54,8,0,4,1,1,1,0,3.6,0
3533,18,1,0,1,9.36,0,0,2,1,1,1,1,2.76,2
1312,17,0,1,1,13.97,9,1,2,0,1,0,1,3.16,1
1331,15,1,0,3,1.15,12,0,2,1,0,0,0,2.58,2
1058,15,0,0,3,13.41,21,0,2,1,0,0,0,3.37,1
3358,17,1,3,3,4.56,14,1,2,0,1,1,0,3.19,1
1014,17,0,1,2,9.37,10,1,2,1,1,1,1,2.63,2
4168,15,1,2,1,11.38,2,0,1,0,0,1,1,2.49,3
4917,18,0,1,3,7.09,14,1,4,1,1,0,1,2.87,2
1194,17,1,3,4,4.86,17,1,4,0,1,0,1,3.28,1
4786,16,1,1,1,13.02,9,0,3,0,0,0,0,3.63,0
5878,15,1,0,4,7.33,6,1,3,0,0,1,0,2.57,2
5846,15,0,1,3,0.88,29,0,3,1,1,0,1,3.02,1
4858,17,1,0,4,19.52,6,1,2,0,1,0,0,3.54,0
1197,16,1,2,3,16.36,22,1,3,1,0,0,1,3.06,1
3441,15,1,1,3,10.69,28,0,2,0,0,1,0,3.01,1
3378,18,1,1,3,9.6,18,1,3,0,1,0,0,2.65,2
5559,16,1,2,3,14.9,13,1,2,0,1,0,0,2.66,2
2921,17,1,3,3,13.23,22,1,2,1,1,0,1,2.74,2
1994,18,0,1,2,11.43,13,1,2,0,1,0,1,2.19,3
3486,17,0,2,1,6.03,23,0,1,1,1,0,0,2.23,3
2966,15,1,0,2,13.71,28,1,3,0,1,0,1,3.22,1
1978,18,1,0,3,16.7,22,0,2,0,0,0,0,2.35,3
4870,16,0,0,2,8.75,5,0,0,1,1,0,0,2.78,2
3334,15,0,1,4,18.1,27,1,3,0,1,0,0,3.62,0
3563,18,0,0,3,11.07,20,1,3,1,1,1,0,3.26,1
3331,18,1,0,3,14.66,0,0,3,0,0,0,0,3.02,1
2828,18,0,0,4,0.63,4,1,3,1,0,0,1,3.71,0
5426,15,0,2,3,9.14,9,1,3,1,1,1,1,2.92,2
3044,17,1,0,2,14.37,15,1,2,1,1,0,0,2.29,3
4296,18,0,2,1,13.19,28,1,1,1,0,1,1,2.67,2
4641,16,0,2,2,17.01,5,1,1,1,0,0,1,3.93,0
3285,16,0,0,1,6.48,24,1,3,1,1,0,0,3.3,1
3221,18,1,3,1,0.61,22,0,4,0,0,1,0,2.89,2
2477,17,1,1,3,1.64,21,0,3,0,1,1,0,3.12,1
1555,15,1,2,3,6.98,24,1,2,1,1,0,0,3.77,0
2474,16,1,3,2,7.56,14,0,2,1,1,0,1,2.12,3
3110,16,1,1,1,16.57,10,1,2,1,1,1,1,3.44,1
3933,15,0,1,2,11.44,23,0,3,1,0,0,1,2.74,2
2735,15,0,0,2,17.18,28,1,2,0,0,1,0,3.82,0
5218,17,1,3,1,7.16,19,0,2,0,1,0,0,2.97,2
4470,15,0,0,2,4.85,3,1,2,1,0,0,1,3.04,1
3415,16,1,1,1,1.53,3,0,4,1,0,0,1,3.33,1
5861,18,0,2,1,14.67,25,0,3,1,1,1,1,3.18,1
2226,16,0,1,2,18.91,24,0,1,1,1,1,0,2.16,3
4210,15,1,0,4,15.72,22,0,2,0,1,0,0,2.87,2
5838,17,0,0,3,7.76,13,0,1,0,1,0,0,3.24,1
2025,18,0,0,2,16.18,17,0,2,0,0,0,1,2.48,3
2858,15,0,0,2,0.69,30,0,4,1,0,0,1,2.77,2
5226,18,1,3,2,3.29,25,0,2,1,1,0,0,2.49,3
3549,16,1,2,3,17.14,8,0,3,0,0,0,0,3.26,1
2909,16,0,3,2,17.95,16,0,2,1,1,0,1,3.32,1
4527,16,1,1,3,4.58,29,1,3,1,1,0,1,3.31,1
4275,18,1,1,3,13.7,11,0,0,1,0,0,1,2.98,2
4011,16,1,2,2,13.27,4,0,2,1,0,1,0,3.51,0
1453,16,0,0,3,19.77,30,0,4,1,1,0,0,3.08,1
1207,18,0,2,3,15.91,24,0,2,0,1,0,0,2.71,2
5269,15,1,0,4,13.11,27,0,3,1,1,1,1,2.9,2
2874,16,1,0,3,17.06,8,0,3,0,1,1,1,3.16,1
4068,15,0,0,2,13.35,27,1,3,1,1,1,0,3.35,1
2986,16,0,0,2,0.15,14,0,4,0,1,1,0,2.5,2
3640,18,0,0,3,16.45,19,0,0,1,1,0,1,2.81,2
3067,18,1,0,2,10.92,23,0,3,0,0,1,1,3.74,0
5934,18,1,0,2,14.75,18,0,2,0,1,0,0,3.08,1
5639,18,1,1,3,8.11,25,1,0,1,1,1,0,3.21,1
2370,16,1,2,4,1.13,2,0,3,1,0,0,0,2.56,2
4873,17,0,2,3,13.98,30,0,0,1,1,0,0,2.24,3
1513,17,1,3,2,17.88,23,0,0,0,0,0,1,2.8,2
4400,18,0,3,0,0.19,13,1,3,1,0,1,1,2.56,2
1038,15,1,3,1,9.44,24,0,2,0,1,0,1,1.81,4
5896,16,1,0,1,14.89,13,1,2,0,0,0,0,3.01,1
3214,17,1,1,4,1.61,7,0,2,1,1,1,1,2.92,2
1359,15,1,3,1,7.97,19,1,0,1,1,0,0,2.55,2
5573,15,1,0,2,16.92,29,0,2,1,0,1,1,2.48,3
3188,16,1,0,3,19.84,21,0,3,1,1,1,0,3.72,0
3262,18,0,0,2,7.78,7,0,2,1,0,0,1,2.11,3
5264,15,1,1,3,2.91,25,0,2,1,1,0,0,2.47,3
4207,15,1,0,3,11.44,18,1,3,1,0,0,0,3.55,0
2581,18,1,3,1,13.97,23,0,3,0,0,0,1,2.24,3
4164,15,0,1,1,15.66,11,0,2,0,0,0,1,2.99,2
2767,16,0,3,1,10.55,7,1,3,1,1,0,0,2.88,2
4619,15,1,0,0,7.54,11,1,2,0,0,1,0,2.28,3
5937,15,0,1,3,14.32,17,0,2,1,0,0,0,2.63,2
1581,16,1,0,2,18.85,10,0,1,1,1,0,0,3.16,1
5978,17,1,2,1,4.87,22,0,1,1,0,1,1,2.27,3
1006,18,0,0,4,4.39,22,1,3,0,1,1,1,2.33,3
3642,18,1,0,3,10.45,25,0,3,1,1,0,1,2.0,3
4723,18,0,0,1,19.64,14,0,2,1,0,0,1,2.78,2
3735,18,1,0,1,13.16,0,1,0,1,1,1,0,3.88,0
3569,18,0,2,2,15.68,22,0,4,1,0,1,0,3.17,1
3704,15,0,0,3,15.49,27,0,1,0,0,0,0,3.72,0
2310,18,1,2,1,8.3,4,1,2,0,1,0,1,2.9,2
2520,15,0,0,4,2.23,11,1,2,0,0,0,0,3.52,0
4761,15,0,0,0,0.35,16,0,4,0,0,0,0,3.3,1
4390,16,0,0,1,14.64,8,0,1,1,0,0,1,3.02,1
4571,17,1,0,1,3.0,26,0,2,1,1,1,1,2.24,3
2954,18,1,0,3,19.44,15,0,3,1,1,0,1,3.65,0
2456,15,0,0,1,19.77,17,0,2,1,0,0,1,2.69,2
2532,16,0,3,1,12.62,14,0,2,0,0,1,1,3.0,1
5560,16,1,1,0,6.76,21,1,2,0,1,1,1,1.95,4
2902,15,0,0,4,3.14,29,1,1,1,1,0,0,2.33,3
4417,16,1,2,1,4.35,7,1,1,1,0,0,0,3.07,1
2357,18,0,1,1,1.16,23,0,3,0,1,0,1,2.43,3
4160,17,1,2,1,15.6,23,1,4,1,1,0,1,3.56,0
1929,16,0,1,2,6.59,22,0,2,1,0,0,0,2.93,2
1142,15,0,0,2,19.63,4,1,3,1,1,0,0,3.45,1
2818,17,0,3,1,1.24,2,0,2,0,1,1,1,2.93,2
3489,18,0,1,1,17.01,23,1,3,0,0,1,0,3.69,0
1616,17,1,2,2,6.18,30,0,4,1,0,0,0,2.75,2
3247,15,1,2,0,0.2,14,1,2,1,1,1,1,2.36,3
4891,18,0,0,3,6.12,3,0,3,0,1,0,0,2.14,3
4157,18,0,2,1,14.28,28,1,2,0,0,1,0,2.62,2
1785,16,1,0,3,12.92,29,0,2,1,1,0,1,2.92,2
4844,16,1,3,1,11.27,27,1,0,1,1,0,1,2.61,2
1093,16,1,2,2,9.14,3,0,2,0,1,0,1,2.94,2
5069,18,0,0,3,8.21,28,0,2,1,1,0,1,2.2,3
5191,18,1,3,2,14.26,9,1,2,1,1,0,1,3.42,1
1473,17,1,0,3,12.27,1,1,1,0,0,0,0,3.16,1
3798,18,1,0,2,12.22,28,0,2,1,1,1,1,3.59,0
3394,17,1,1,4,15.67,6,0,3,1,1,1,1,3.04,1
4817,17,0,1,1,5.24,22,0,2,1,0,1,0,2.2,3
5419,17,1,1,4,3.7,2,0,3,1,1,0,1,3.51,0
4564,18,1,3,2,7.47,5,0,1,1,0,0,0,2.2,3
1317,17,1,0,2,0.43,30,1,2,1,0,1,0,2.93,2
1919,18,0,0,3,16.44,13,0,1,1,0,0,0,3.57,0
1883,17,1,0,2,6.28,18,1,2,1,0,1,0,2.23,3
5317,17,1,2,1,0.11,13,1,3,1,0,1,1,2.76,2
5336,15,1,0,4,19.42,17,0,3,1,1,1,0,2.41,3
5612,18,1,0,3,1.57,22,0,3,0,0,1,0,2.14,3
5037,16,1,0,1,14.12,26,1,4,1,1,1,0,2.22,3
2965,15,1,0,2,16.55,24,0,2,1,0,0,1,3.42,1
3546,15,1,0,1,14.28,17,1,4,0,0,0,0,3.52,0
5827,18,1,1,2,5.22,17,0,2,1,1,1,1,3.4,1
4557,15,0,0,1,2.22,17,0,3,1,1,0,0,2.46,3
5298,16,0,2,0,11.61,27,0,2,1,0,0,0,2.76,2
2872,15,0,0,2,18.02,23,1,0,0,0,0,0,2.89,2
5042,18,1,0,1,6.61,30,0,2,0,0,1,0,2.49,3
4957,17,0,1,1,8.59,11,1,0,1,1,0,0,2.78,2
3179,17,0,0,2,15.23,30,1,3,1,1,0,0,2.83,2
5242,17,1,2,4,0.35,14,0,1,1,1,1,1,2.17,3
2215,16,1,2,3,6.52,14,1,2,1,0,0,0,2.68,2
1187,16,0,2,3,8.47,25,1,2,1,0,1,0,2.76,2
3190,17,1,1,2,3.94,6,1,3,0,1,0,0,2.44,3
1419,18,0,1,2,9.66,22,0,1,1,0,0,1,2.63,2
1172,15,1,1,1,2.17,14,0,2,0,0,1,1,3.51,0
2707,17,1,3,4,18.42,29,0,1,0,1,1,1,2.32,3
4375,16,0,1,2,4.14,14,0,3,1,1,0,0,2.08,3
3046,18,1,0,1,11.47,16,1,1,1,1,1,0,2.96,2
1634,15,1,0,2,13.56,8,1,2,1,0,0,1,2.87,2
5709,18,0,0,1,1.52,11,0,2,1,0,0,0,3.0,1
3760,17,1,0,2,3.27,8,1,3,1,1,0,1,3.3,1
5948,16,1,0,2,3.26,28,0,4,0,1,0,0,2.54,2
2378,15,1,2,2,9.63,25,1,3,1,0,0,1,2.26,3
4308,15,1,0,4,14.55,2,0,3,1,0,0,1,2.39,3
1079,17,0,1,1,1.54,21,0,2,0,0,0,0,2.13,3
5814,18,1,2,1,5.85,27,1,3,1,0,0,0,2.15,3
2799,17,1,0,1,0.91,1,0,0,1,0,0,0,2.35,3
5627,17,1,1,2,3.68,14,0,4,1,0,1,1,2.9,2
3595,15,1,0,1,15.65,29,0,4,1,0,0,0,2.85,2
1573,15,1,2,1,17.57,21,0,3,1,1,0,1,3.34,1
4657,15,0,1,2,16.78,28,1,3,1,0,0,1,2.83,2
1824,17,1,2,1,11.49,18,1,2,1,1,0,0,3.44,1
3242,17,0,3,1,10.71,27,0,3,1,1,0,1,2.18,3
3944,17,1,0,3,11.51,23,1,2,0,1,0,0,2.86,2
5276,17,0,0,1,9.0,15,0,2,0,0,1,0,3.42,1
4885,16,1,2,1,16.73,18,0,4,0,1,1,1,2.51,2
4170,18,0,0,3,5.86,3,0,2,0,1,0,1,3.03,1
5379,15,0,3,2,5.73,25,0,2,1,1,0,0,2.41,3
4253,15,1,0,2,13.43,13,1,1,1,1,1,0,2.53,2
3925,16,0,3,2,7.35,30,1,3,0,0,0,1,2.45,3
3099,16,1,0,3,6.68,15,1,0,1,0,0,0,1.76,4
5922,17,1,3,4,7.1,30,0,3,1,0,1,0,2.7,2
2179,17,0,0,3,11.28,17,1,4,1,1,1,1,3.03,1
1101,17,0,1,4,9.32,26,0,3,1,1,0,1,3.73,0
2669,17,1,0,3,14.37,1,0,2,1,1,0,1,3.94,0
1010,16,0,1,3,4.06,26,0,2,1,1,1,0,2.07,3
1127,16,1,1,2,12.81,4,0,3,0,0,1,1,3.38,1
3383,16,1,3,2,4.42,11,0,2,1,1,0,1,3.29,1
4482,17,1,0,0,19.81,5,0,1,1,1,0,0,3.36,1
2033,15,0,2,2,17.31,0,0,3,1,0,1,0,3.38,1
3991,16,0,2,4,5.92,15,0,2,0,1,1,0,2.6,2
5253,15,0,0,2,6.39,24,0,3,0,0,1,1,2.39,3
4043,15,1,0,4,8.98,16,0,2,0,1,1,0,2.64,2
2373,18,0,3,3,8.27,28,0,3,1,0,1,0,3.06,1
3476,17,1,1,2,0.44,1,0,3,0,1,1,1,2.83,2
3954,16,0,0,1,7.37,5,0,1,1,0,0,1,2.32,3
4611,17,1,1,2,18.46,13,0,1,1,0,1,0,1.77,4
4994,15,0,1,2,10.54,27,0,3,1,1,0,1,2.67,2
4640,17,1,1,3,16.66,16,1,1,1,0,0,0,3.44,1
5081,17,1,0,1,10.13,23,1,4,1,0,1,0,2.27,3
1648,15,1,2,3,16.41,1,0,3,1,1,0,0,3.42,1
3707,15,0,1,1,14.71,28,0,2,0,0,0,0,2.66,2
3032,15,0,0,2,8.9,22,0,2,0,1,0,0,2.48,3
1750,16,0,2,0,0.76,10,1,3,0,1,0,0,2.4,3
5416,15,0,0,3,8.45,25,0,2,1,0,1,0,1.55,4
2082,15,1,3,2,4.96,25,0,2,0,1,1,0,3.22,1
1544,16,1,2,3,14.89,28,1,1,1,0,1,0,2.44,3
2630,16,1,2,2,5.43,5,0,2,0,1,0,0,3.18,1
2924,17,0,1,4,14.54,27,0,0,1,0,0,1,2.47,3
2360,17,0,2,2,16.87,13,1,1,0,0,1,0,3.49,1
4101,17,0,2,1,1.53,24,0,3,1,0,1,1,2.97,2
4599,18,1,1,1,13.98,12,1,2,1,1,0,1,3.7,0
3738,16,0,0,2,9.02,30,0,2,1,1,1,1,2.92,2
3843,15,1,0,2,19.33,27,1,3,1,0,1,0,2.05,3
4698,15,0,1,1,6.62,16,0,1,0,0,0,1,2.83,2
1758,17,1,1,3,5.34,7,0,2,0,1,1,1,1.73,4
1332,15,0,0,2,18.75,30,0,2,1,0,1,0,3.53,0
5485,17,1,3,1,4.65,6,1,4,0,0,1,1,3.02,1
2955,17,0,2,3,19.56,13,0,3,1,0,0,0,3.25,1
1089,18,1,1,3,11.91,6,0,3,0,0,0,0,3.37,1
2622,16,0,1,1,16.3,8,1,1,0,1,0,0,3.24,1
3905,18,0,0,4,9.49,16,0,2,1,1,0,0,3.75,0
3155,18,1,0,2,15.73,19,0,3,1,1,0,0,3.02,1
5023,18,0,1,2,11.71,18,0,4,1,1,0,0,3.43,1
3401,15,0,0,3,14.08,8,0,2,1,1,0,0,3.59,0
5520,16,0,0,2,13.31,19,0,3,1,1,0,0,2.75,2
2364,16,0,1,2,7.49,22,0,3,0,1,1,1,3.22,1
3018,16,0,0,3,1.87,23,0,2,1,1,0,1,1.57,4
1382,16,1,1,3,6.44,26,1,3,1,0,0,1,1.56,4
4007,16,1,2,4,6.84,1,0,4,0,0,1,0,1.9,4
5537,18,0,1,3,9.63,21,1,2,1,0,1,0,2.55,2
1279,15,0,3,2,7.12,17,0,4,0,0,0,0,2.54,2
3225,18,1,3,3,19.43,6,0,0,1,0,1,0,3.14,1
5466,18,0,3,2,5.64,16,0,4,1,0,0,1,3.1,1
5802,17,1,0,3,1.43,13,0,2,0,1,0,1,2.43,3
5598,15,0,0,4,8.62,28,0,2,1,0,0,0,2.46,3
4260,17,0,2,1,6.12,25,1,1,0,1,0,0,2.22,3
3677,15,1,2,1,13.65,28,0,3,1,0,0,1,2.48,3
5853,15,0,0,3,1.29,22,0,2,1,0,0,0,2.79,2
1872,18,1,0,3,0.7,3,1,2,1,0,0,1,2.7,2
4630,18,1,2,4,14.53,26,0,3,1,0,0,1,3.19,1
2292,15,0,0,2,3.92,3,0,3,1,0,1,1,2.95,2
3968,15,1,0,3,8.02,4,0,3,1,1,0,1,3.02,1
2950,17,1,0,3,6.98,17,1,2,0,0,0,1,2.31,3
3131,15,0,0,3,15.4,9,1,3,1,0,0,0,2.77,2
1823,16,0,2,4,15.85,23,0,2,1,0,0,0,2.97,2
5257,16,1,0,1,17.15,2,1,0,0,0,1,0,2.66,2
4002,16,0,2,0,8.05,20,0,4,0,1,0,1,2.58,2
4276,16,0,2,2,13.43,15,1,2,0,1,0,0,3.28,1
3949,16,0,3,4,8.56,27,1,2,1,0,0,1,2.86,2
4217,17,1,1,2,12.27,21,0,1,1,1,1,0,2.42,3
2852,15,1,3,4,0.34,3,1,2,1,1,0,1,3.33,1
3120,18,0,1,3,5.51,1,1,2,1,0,0,1,3.03,1
4137,18,0,0,4,17.49,24,1,3,1,0,1,0,2.65,2
3059,16,1,3,1,14.4,16,0,2,1,0,0,0,2.83,2
2245,17,1,2,1,10.85,18,0,1,1,1,1,0,2.82,2
3496,18,0,0,4,10.3,14,1,2,1,1,1,1,3.45,1
2175,15,0,1,4,19.95,13,0,4,1,0,0,1,3.39,1
5510,18,1,0,3,14.39,14,0,1,1,0,1,0,1.93,4
3617,16,0,0,1,8.46,22,1,2,1,1,0,1,2.17,3
4248,15,1,1,1,11.21,22,0,0,1,1,0,1,2.59,2
4969,16,1,1,3,10.73,3,1,2,1,0,1,1,2.33,3
1765,15,1,3,3,2.72,14,0,2,0,0,0,0,3.1,1
