StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,AttendanceRate,StudyCategory,ActivityScore,SupportScore,RiskScore,IsAtRisk,GPAGroup
1052,16,0,2,2,15.52,9,1,2,1,1,0,1,3.69,0,95.0,2,3,3.2,16.08,0,3
1053,17,1,0,4,1.68,8,1,2,1,1,0,0,2.64,2,95.56,0,2,3.2,38.31,0,1
1054,18,1,0,2,17.81,26,0,4,0,0,1,1,3.3,1,85.56,2,2,2.4,23.63,0,2
1055,17,0,1,2,9.44,26,1,2,1,1,0,0,2.43,3,85.56,1,2,3.2,32.63,0,1
1056,18,1,2,2,14.88,7,0,3,1,0,0,1,3.01,1,96.11,1,2,1.8,27.05,0,2
1057,18,0,1,2,2.8,6,1,2,0,0,0,0,2.77,2,96.67,0,0,3.2,41.2,0,1
1058,15,0,0,3,13.41,21,0,2,1,0,0,0,3.37,1,88.33,1,1,1.2,35.94,0,2
1059,17,0,1,2,4.73,23,0,1,0,1,1,0,2.22,3,87.22,0,2,0.6,50.28,1,1
1060,15,1,0,2,8.77,5,0,2,1,1,1,1,1.96,4,97.22,1,4,1.2,34.66,0,0
1061,17,1,3,1,0.34,1,0,2,1,0,0,1,2.26,3,99.44,0,2,1.2,48.67,0,1
1062,17,1,3,0,3.03,28,1,0,1,0,0,0,3.26,1,84.44,0,1,2.0,46.92,0,2
1063,15,0,1,2,1.84,8,0,3,0,1,0,1,1.96,4,95.56,0,2,1.8,46.17,0,0
1064,15,1,0,1,4.79,8,0,2,0,1,0,1,1.8,4,95.56,0,2,1.2,45.61,0,0
1065,17,0,2,1,2.0,18,1,1,1,0,0,0,2.95,2,90.0,0,1,2.6,44.31,0,1
1066,16,1,0,3,13.84,8,1,1,1,0,1,0,3.48,1,95.56,1,2,2.6,23.74,0,2
1067,18,0,1,3,0.58,1,1,1,1,0,0,0,2.71,2,99.44,0,1,2.6,43.38,0,1
1068,15,0,0,3,12.35,27,1,2,1,0,0,1,3.12,1,85.0,1,2,3.2,27.47,0,2
1069,18,0,3,2,2.81,29,0,2,1,1,0,0,2.17,3,83.89,0,2,1.2,51.25,1,1
1070,16,1,0,4,18.9,18,0,4,0,1,0,0,2.71,2,90.0,2,1,2.4,24.69,0,1
1071,16,0,1,4,18.66,15,0,4,1,1,0,0,4.0,0,91.67,2,2,2.4,18.68,0,3
1072,16,0,2,3,4.51,29,1,3,1,0,0,1,2.37,3,83.89,0,2,3.8,36.8,0,1
1073,15,0,1,3,12.29,21,0,2,0,1,0,0,2.11,3,88.33,1,1,1.2,40.49,0,1
1074,16,0,0,2,0.56,13,0,2,1,0,1,0,1.75,4,92.78,0,2,1.2,52.0,1,0
1075,15,0,3,4,18.64,19,0,4,1,0,0,1,3.85,0,89.44,2,2,2.4,19.86,0,3
1076,16,0,1,1,10.46,23,0,3,0,0,0,1,2.76,2,87.22,1,1,1.8,38.82,0,1
1077,18,1,1,1,0.86,0,0,2,0,1,1,1,3.22,1,100.0,0,3,1.2,42.92,0,2
1078,18,1,0,2,6.85,12,0,2,1,1,1,1,3.75,0,93.33,1,4,1.2,33.94,0,3
1079,17,0,1,1,1.54,21,0,2,0,0,0,0,2.13,3,88.33,0,0,1.2,56.38,1,1
1080,18,1,1,4,7.86,1,0,3,1,1,0,0,4.0,0,99.44,1,2,1.8,32.19,0,3
1081,17,1,0,2,13.4,21,1,4,1,0,1,1,3.05,1,88.33,1,3,4.4,17.21,0,2
1082,18,0,0,2,9.4,13,1,1,0,1,1,1,2.96,2,92.78,1,3,2.6,29.06,0,1
1083,15,0,2,3,7.67,0,0,1,1,1,0,0,3.67,0,100.0,1,2,0.6,38.51,0,3
1084,18,0,0,2,2.38,14,1,2,0,0,0,0,2.75,2,92.22,0,0,3.2,43.33,0,1
1085,17,1,0,0,4.9,17,1,2,0,0,0,0,3.06,1,90.56,0,0,3.2,39.98,0,2
1086,17,0,1,3,2.0,8,0,3,0,0,0,1,2.58,2,95.56,0,1,1.8,46.92,0,1
1087,16,1,2,3,16.15,21,1,3,1,1,1,0,3.35,1,88.33,2,3,3.8,15.75,0,2
1088,15,0,0,2,2.7,7,1,2,0,0,0,1,3.58,0,96.11,0,1,3.2,36.99,0,3
1089,18,1,1,3,11.91,6,0,3,0,0,0,0,3.37,1,96.67,1,0,1.8,34.67,0,2
1090,16,0,0,1,6.85,8,0,2,1,0,0,0,2.56,2,95.56,1,1,1.2,43.64,0,1
1091,18,0,0,1,4.52,8,0,3,1,0,0,1,2.84,2,95.56,0,2,1.8,40.62,0,1
1092,18,1,0,1,12.79,10,1,3,0,1,0,1,2.93,2,94.44,1,2,3.8,21.36,0,1
1093,16,1,2,2,9.14,3,0,2,0,1,0,1,2.94,2,98.33,1,2,1.2,36.35,0,1
1094,16,1,0,3,8.0,6,1,3,1,1,1,0,3.95,0,96.67,1,3,3.8,21.52,0,3
1095,16,1,0,3,11.86,20,0,2,1,0,1,0,2.88,2,88.89,1,2,1.2,36.41,0,1
1096,16,1,1,2,9.83,6,0,2,1,1,0,0,3.38,1,96.67,1,2,1.2,34.97,0,2
1097,16,1,2,2,6.07,3,0,2,0,0,0,1,3.13,1,98.33,1,1,1.2,42.22,0,2
1098,18,0,0,3,11.18,11,0,2,0,0,0,1,3.57,0,93.89,1,1,1.2,36.28,0,3
1099,16,1,1,1,13.39,25,1,3,1,0,1,0,2.37,3,86.11,1,2,3.8,24.93,0,1
1100,15,0,0,1,0.53,26,1,2,1,1,1,0,2.61,2,85.56,0,3,3.2,40.82,0,1
1101,17,0,1,4,9.32,26,0,3,1,1,0,1,3.73,0,85.56,1,3,1.8,33.4,0,3
1102,16,1,1,3,1.15,16,0,4,1,1,0,1,2.46,3,91.11,0,3,2.4,42.11,0,1
1103,16,0,1,4,3.73,19,1,2,1,1,1,0,3.95,0,89.44,0,3,3.2,32.11,0,3
1104,18,1,0,2,11.21,30,1,0,0,1,0,0,2.13,3,83.33,1,1,2.0,39.91,0,1
1105,16,1,0,3,17.32,28,1,0,1,0,1,1,2.7,2,84.44,2,3,2.0,25.46,0,1
1106,16,0,0,1,17.66,25,0,1,0,0,1,0,3.08,1,86.11,2,1,0.6,34.86,0,2
1107,16,0,0,1,1.4,30,1,1,1,0,1,1,2.46,3,83.33,0,3,2.6,43.62,0,1
1108,18,1,0,2,8.38,2,1,3,1,0,0,1,2.19,3,98.89,1,2,3.8,27.17,0,1
1109,16,1,2,2,11.66,8,0,2,1,1,0,1,3.19,1,95.56,1,3,1.2,31.05,0,2
1110,17,0,3,1,2.94,4,0,3,0,1,0,0,2.87,2,97.78,0,1,1.8,44.25,0,1
1111,18,0,3,1,15.31,19,0,0,1,0,1,1,2.42,3,89.44,2,3,0.0,36.01,0,1
1112,17,0,3,0,14.88,15,1,2,0,0,0,1,2.82,2,91.67,1,1,3.2,25.22,0,1
1113,18,0,1,3,18.07,7,0,2,0,0,0,1,2.13,3,96.11,2,1,1.2,30.49,0,1
1114,16,1,2,2,0.17,30,0,2,1,0,0,1,2.03,3,83.33,0,2,1.2,55.09,1,1
1115,17,1,0,1,4.33,20,0,1,1,1,0,1,2.84,2,88.89,0,3,0.6,46.15,0,1
1116,18,1,1,1,16.54,15,0,3,1,0,1,0,3.07,1,91.67,2,2,1.8,26.38,0,2
1117,15,1,1,1,13.41,18,0,3,1,0,1,0,3.37,1,90.0,1,2,1.8,30.13,0,2
1118,16,0,1,3,17.89,15,1,1,0,0,1,0,4.0,0,91.67,2,1,2.6,21.23,0,3
1119,18,0,2,1,1.14,17,0,3,0,1,1,0,2.16,3,90.56,0,2,1.8,48.3,0,1
1120,15,1,0,3,11.94,14,0,2,0,0,0,1,2.45,3,92.22,1,1,1.2,38.72,0,1
1121,18,1,0,0,11.38,23,0,2,1,0,1,0,3.08,1,87.22,1,2,1.2,37.09,0,2
1122,15,1,3,1,0.71,27,0,3,1,1,0,1,2.34,3,85.0,0,3,1.8,47.83,0,1
1123,16,1,0,4,10.27,17,0,4,1,0,0,0,2.91,2,90.56,1,1,2.4,34.78,0,1
1124,17,1,1,3,12.19,13,0,3,1,1,0,1,4.0,0,92.78,1,3,1.8,26.61,0,3
1125,15,1,3,1,3.83,23,0,1,1,0,1,0,3.01,1,87.22,0,2,0.6,49.43,0,2
1126,18,1,1,3,5.47,15,1,4,0,1,0,1,3.12,1,91.67,1,2,4.4,28.28,0,2
1127,16,1,1,2,12.81,4,0,3,0,0,1,1,3.38,1,97.78,1,2,1.8,28.13,0,2
1128,15,1,0,3,9.37,7,1,2,1,0,1,0,3.22,1,96.11,1,2,3.2,27.05,0,2
1129,18,0,0,3,17.16,15,0,4,1,0,0,1,2.52,2,91.67,2,2,2.4,24.26,0,1
1130,18,1,3,3,6.85,20,0,3,1,1,0,0,2.94,2,88.89,1,2,1.8,39.79,0,1
1131,18,0,1,4,5.33,0,1,3,1,1,1,0,3.21,1,100.0,1,3,3.8,25.54,0,2
1132,15,0,1,1,19.7,27,0,3,1,0,0,1,2.54,2,85.0,2,2,1.8,26.09,0,1
1133,15,1,0,3,18.22,28,1,2,0,0,1,0,2.77,2,84.44,2,1,3.2,23.7,0,1
1134,15,1,0,2,0.58,10,0,3,0,1,0,1,2.1,3,94.44,0,2,1.8,47.79,0,1
1135,17,0,3,0,15.41,29,0,1,1,1,1,0,1.78,4,83.89,2,3,0.6,36.7,0,0
1136,15,0,0,0,2.21,10,0,4,0,1,1,0,2.39,3,94.44,0,2,2.4,42.3,0,1
1137,15,1,1,1,0.55,1,1,3,1,0,0,1,2.55,2,99.44,0,2,3.8,35.86,0,1
1138,15,0,0,3,5.47,29,1,3,0,1,0,0,3.66,0,83.89,1,1,3.8,34.88,0,3
1139,17,1,2,2,5.39,21,0,2,1,0,0,0,3.26,1,88.33,1,1,1.2,46.24,0,2
1140,15,1,3,2,16.39,18,0,3,0,1,0,0,2.73,2,90.0,2,1,1.8,30.51,0,1
1141,18,1,1,0,14.21,23,0,2,0,1,1,0,2.94,2,87.22,1,2,1.2,33.91,0,1
1142,15,0,0,2,19.63,4,1,3,1,1,0,0,3.45,1,97.78,2,2,3.8,10.34,0,2
1143,18,0,1,4,14.23,2,0,3,0,1,1,1,3.06,1,98.89,1,3,1.8,24.27,0,2
1144,18,1,2,2,8.37,27,0,1,0,0,1,1,2.01,3,85.0,1,2,0.6,47.04,0,1
1145,18,0,1,3,13.98,25,0,2,1,1,1,0,2.65,2,86.11,1,3,1.2,32.81,0,1
1146,17,0,3,3,19.99,22,1,2,1,0,0,0,2.87,2,87.78,2,1,3.2,20.07,0,1
1147,17,0,1,3,14.2,29,0,2,0,1,0,0,2.62,2,83.89,1,1,1.2,38.38,0,1
1148,17,0,3,2,15.23,7,1,2,0,0,1,1,4.0,0,96.11,2,2,3.2,17.78,0,3
1149,15,0,1,4,18.77,3,1,2,1,1,1,1,3.47,1,98.33,2,4,3.2,8.9,0,2
1150,18,0,0,2,2.27,28,0,2,1,1,0,1,1.79,4,84.44,0,3,1.2,50.18,1,0
1151,17,0,0,4,14.1,12,0,3,1,1,0,1,3.05,1,93.33,1,3,1.8,26.4,0,2
1152,17,1,0,1,17.02,26,0,4,0,0,0,0,3.42,1,85.56,2,0,2.4,29.32,0,2
1153,15,0,3,1,19.09,24,0,3,1,0,1,0,3.92,0,86.67,2,2,1.8,22.82,0,3
1154,17,0,2,1,4.22,21,0,0,0,0,1,0,1.65,4,88.33,0,1,0.0,57.18,1,0
1155,15,0,2,3,10.08,13,1,3,0,0,0,0,3.08,1,92.78,1,0,3.8,29.95,0,2
1156,16,0,0,2,13.61,0,1,2,0,0,1,0,3.45,1,100.0,1,1,3.2,22.32,0,2
1157,17,0,0,1,4.95,4,1,3,0,0,0,0,3.49,1,97.78,0,0,3.8,33.59,0,2
1158,16,0,2,1,12.01,20,1,2,1,0,1,1,2.8,2,88.89,1,3,3.2,24.83,0,1
1159,15,0,1,4,5.15,6,0,0,0,0,1,1,2.78,2,96.67,1,2,0.0,47.78,0,1
1160,18,0,0,3,6.67,22,0,3,1,0,1,0,2.52,2,87.78,1,2,1.8,41.46,0,1
1161,17,1,1,2,8.83,5,0,2,1,1,1,0,2.31,3,97.22,1,3,1.2,36.21,0,1
1162,15,0,0,3,10.58,14,0,4,0,0,0,1,3.48,1,92.22,1,1,2.4,32.39,0,2
1163,18,0,0,2,8.99,14,0,3,1,0,1,0,2.39,3,92.22,1,2,1.8,37.33,0,1
1164,18,0,1,2,9.86,7,0,2,1,0,1,0,2.14,3,96.11,1,2,1.2,38.23,0,1
1165,16,0,0,4,5.97,1,1,3,1,1,1,0,3.05,1,99.44,1,3,3.8,25.34,0,2
1166,15,1,3,1,3.18,13,1,2,0,1,0,0,1.9,4,92.78,0,1,3.2,41.76,0,0
1167,18,1,0,2,0.95,28,1,1,0,1,0,0,2.21,3,84.44,0,1,2.6,49.42,0,1
1168,17,1,0,2,3.92,15,0,2,0,1,0,0,2.39,3,91.67,0,1,1.2,49.09,0,1
1169,17,1,0,2,11.64,28,1,2,1,0,0,0,2.7,2,84.44,1,1,3.2,32.1,0,1
1170,16,1,2,2,15.72,22,0,0,0,0,0,0,2.39,3,87.78,2,0,0.0,43.65,0,1
1171,18,1,1,2,3.38,9,0,2,1,0,0,0,2.74,2,95.0,0,1,1.2,47.72,0,1
1172,15,1,1,1,2.17,14,0,2,0,0,1,1,3.51,0,92.22,0,2,1.2,45.78,0,3
1173,17,1,0,2,14.99,22,0,0,1,1,1,1,1.46,4,87.78,1,4,0.0,36.89,0,0
1174,18,1,0,1,6.1,3,1,3,1,0,0,1,3.84,0,98.33,1,2,3.8,26.09,0,3
1175,18,1,1,1,19.03,11,0,1,0,1,0,1,2.25,3,93.89,2,2,0.6,30.0,0,1
1176,16,1,2,1,14.29,9,0,2,1,1,1,0,3.21,1,95.0,1,3,1.2,27.91,0,2
1177,17,1,3,3,6.54,1,0,2,1,0,0,0,3.61,0,99.44,1,1,1.2,40.04,0,3
1178,17,1,0,2,5.79,3,1,1,1,0,1,1,2.9,2,98.33,1,3,2.6,31.78,0,1
1179,15,1,1,3,10.47,19,0,4,1,0,1,1,3.07,1,89.44,1,3,2.4,29.52,0,2
1180,17,1,3,3,1.58,27,1,3,1,1,0,0,3.03,1,85.0,0,2,3.8,38.43,0,2
1181,15,1,0,3,2.35,27,1,3,1,1,1,1,3.26,1,85.0,0,4,3.8,31.89,0,2
1182,17,0,2,2,3.52,5,1,2,1,1,0,1,2.39,3,97.22,0,3,3.2,33.55,0,1
1183,16,1,0,2,15.49,13,0,3,0,0,0,1,3.23,1,92.78,2,1,1.8,29.41,0,2
1184,17,0,3,2,10.28,22,0,4,0,0,1,0,2.78,2,87.78,1,1,2.4,36.07,0,1
1185,15,1,2,3,0.21,2,0,2,0,1,1,1,3.09,1,98.89,0,3,1.2,44.45,0,2
1186,15,1,3,2,13.47,14,1,2,0,0,1,1,3.3,1,92.22,1,2,3.2,23.09,0,2
1187,16,0,2,3,8.47,25,1,2,1,0,1,0,2.76,2,86.11,1,2,3.2,32.83,0,1
1188,17,1,0,4,10.22,0,0,4,1,1,1,1,3.36,1,100.0,1,4,2.4,22.92,0,2
1189,17,0,3,1,4.28,18,0,2,1,0,1,0,2.83,2,90.0,0,2,1.2,45.62,0,1
1190,16,0,0,1,11.04,24,0,3,0,1,1,0,2.48,3,86.67,1,2,1.8,36.48,0,1
1191,17,0,0,3,19.58,0,1,1,1,1,1,1,3.84,0,100.0,2,4,2.6,9.11,0,3
1192,17,1,2,2,1.47,12,0,4,1,1,0,1,2.44,3,93.33,0,3,2.4,40.99,0,1
1193,15,1,2,0,5.68,7,1,3,1,1,1,1,3.99,0,96.11,1,4,3.8,22.01,0,3
1194,17,1,3,4,4.86,17,1,4,0,1,0,1,3.28,1,90.56,0,2,4.4,29.03,0,2
1195,17,0,0,1,4.97,21,0,4,0,1,0,1,2.8,2,88.33,0,2,2.4,39.96,0,1
1196,16,0,2,4,7.57,2,0,3,0,1,0,1,2.85,2,98.89,1,2,1.8,35.62,0,1
1197,16,1,2,3,16.36,22,1,3,1,0,0,1,3.06,1,87.78,2,2,3.8,18.9,0,2
1198,18,1,0,3,18.26,17,0,3,0,0,0,0,3.26,1,90.56,2,0,1.8,29.15,0,2
1199,15,1,0,1,4.04,19,0,2,1,0,0,1,3.15,1,89.44,0,2,1.2,45.32,0,2
1200,17,1,0,1,10.86,25,0,2,0,0,0,0,1.98,4,86.11,1,0,1.2,45.88,0,0
1201,17,1,0,2,12.74,8,0,1,0,0,0,1,2.21,3,95.56,1,1,0.6,39.88,0,1
1202,18,0,3,1,10.44,5,1,2,0,0,0,1,2.82,2,97.22,1,1,3.2,28.83,0,1
1203,17,0,1,2,8.68,19,0,4,1,0,1,0,2.65,2,89.44,1,2,2.4,35.31,0,1
1204,15,0,2,2,3.84,1,0,2,1,0,1,1,2.68,2,99.44,0,3,1.2,40.74,0,1
1205,18,1,3,1,9.76,25,1,3,1,1,0,1,3.07,1,86.11,1,3,3.8,25.21,0,2
1206,15,0,0,1,8.02,29,0,1,0,1,1,0,2.51,2,83.89,1,2,0.6,46.61,0,1
1207,18,0,2,3,15.91,24,0,2,0,1,0,0,2.71,2,86.67,2,1,1.2,35.05,0,1
1208,18,0,1,1,15.27,30,1,1,1,0,0,0,3.36,1,83.33,2,1,2.6,29.03,0,2
1209,16,0,3,0,2.68,3,1,2,0,0,1,0,3.99,0,98.33,0,1,3.2,35.21,0,3
1210,15,0,0,3,1.77,24,0,0,0,0,1,1,2.62,2,86.67,0,2,0.0,55.9,1,1
1211,17,1,3,4,18.16,29,0,3,0,0,1,0,3.14,1,83.89,2,1,1.8,29.41,0,2
1212,17,0,0,2,10.71,17,1,3,0,0,0,1,3.02,1,90.56,1,1,3.8,27.59,0,2
1213,15,1,0,1,17.16,6,0,3,0,1,0,0,2.57,2,96.67,2,1,1.8,27.61,0,1
1214,17,1,2,2,1.16,26,0,3,0,1,0,0,2.94,2,85.56,0,1,1.8,50.57,1,1
1215,17,1,0,4,10.53,10,0,4,1,0,0,0,3.0,1,94.44,1,1,2.4,32.87,0,2
1216,15,1,1,3,10.79,4,0,3,1,1,0,0,3.1,1,97.78,1,2,1.8,31.36,0,2
1217,18,1,1,3,17.21,7,1,1,1,1,0,1,3.33,1,96.11,2,3,2.6,17.21,0,2
1218,15,0,2,2,1.95,10,0,2,0,1,0,1,2.08,3,94.44,0,2,1.2,48.85,0,1
1219,18,0,0,2,4.81,29,1,0,1,0,0,1,3.1,1,83.89,0,2,2.0,42.79,0,2
1220,17,1,0,1,8.13,23,0,2,0,1,0,1,2.99,2,87.22,1,2,1.2,41.38,0,1
1221,17,1,0,3,17.32,29,0,2,1,0,0,1,2.39,3,83.89,2,2,1.2,32.56,0,1
1222,17,1,1,3,18.78,29,1,4,1,0,0,0,2.59,2,83.89,2,1,4.4,18.19,0,1
1223,16,0,0,4,19.85,19,0,2,1,1,1,0,2.71,2,89.44,2,3,1.2,24.15,0,1
1224,18,1,0,1,19.18,28,0,3,1,0,1,0,2.44,3,84.44,2,2,1.8,27.19,0,1
1225,16,0,0,0,0.12,19,0,2,0,1,0,0,1.8,4,89.44,0,1,1.2,56.09,1,0
1226,16,1,0,2,0.95,14,0,1,1,1,0,0,2.67,2,92.22,0,2,0.6,52.13,1,1
1227,15,0,1,3,2.95,23,0,3,1,0,0,0,2.74,2,87.22,0,1,1.8,48.25,0,1
1228,16,1,3,3,6.98,2,0,2,1,0,0,1,2.37,3,98.89,1,2,1.2,40.28,0,1
1229,15,0,0,1,16.6,6,1,4,1,0,0,1,4.0,0,96.67,2,2,4.4,10.42,0,3
1230,15,1,1,1,17.85,23,0,1,0,0,0,1,2.21,3,87.22,2,1,0.6,36.41,0,1
1231,16,0,2,2,3.74,7,1,4,0,0,0,1,2.04,3,96.11,0,1,4.4,34.09,0,1
1232,18,0,1,2,12.39,10,0,3,1,0,0,1,3.34,1,94.44,1,2,1.8,29.93,0,2
1233,18,0,2,4,18.35,9,0,3,0,0,0,0,3.23,1,95.0,2,0,1.8,27.56,0,2
1234,18,0,1,2,9.27,19,0,4,0,1,1,0,2.67,2,89.44,1,2,2.4,34.52,0,1
1235,18,0,1,3,2.07,8,0,2,1,0,0,0,2.81,2,95.56,0,1,1.2,48.99,0,1
1236,18,0,0,2,9.16,14,0,1,0,1,1,1,2.72,2,92.22,1,3,0.6,39.25,0,1
1237,16,0,2,3,7.52,25,0,1,1,0,1,0,2.9,2,86.11,1,2,0.6,45.48,0,1
1238,16,1,2,2,11.55,19,1,2,1,1,0,0,2.82,2,89.44,1,2,3.2,27.66,0,1
1239,17,1,0,3,8.77,23,0,2,0,1,0,0,2.41,3,87.22,1,1,1.2,44.53,0,1
1240,18,1,0,1,0.35,21,0,4,1,0,0,0,2.64,2,88.33,0,1,2.4,48.64,0,1
1241,16,1,3,2,19.88,4,0,1,0,1,0,1,3.55,0,97.78,2,2,0.6,24.32,0,3
1242,17,1,1,1,10.87,14,1,4,0,1,0,1,3.04,1,92.22,1,2,4.4,21.54,0,2
1243,18,0,1,2,9.47,3,0,4,0,1,0,1,3.11,1,98.33,1,2,2.4,30.06,0,2
1244,15,0,3,2,19.09,4,0,3,1,0,0,1,3.93,0,97.78,2,2,1.8,18.91,0,3
1245,17,0,2,1,3.12,30,0,4,1,1,0,0,2.5,2,83.33,0,2,2.4,44.78,0,1
1246,16,0,1,4,3.78,28,0,3,1,1,0,0,1.87,4,84.44,0,2,1.8,47.86,0,0
1247,15,0,2,1,16.16,14,0,2,1,1,1,1,3.01,1,92.22,2,4,1.2,24.54,0,2
1248,15,1,3,3,5.22,26,0,3,0,1,1,0,2.63,2,85.56,1,2,1.8,43.77,0,1
1249,15,1,1,4,15.98,16,0,3,1,0,1,0,3.24,1,91.11,2,2,1.8,26.85,0,2
